"Gordon Finest Silver";"Fermentation haute";"7,7";"Groupe John Martin"
"Gordon Finest Zero";"NA";"0";"Groupe John Martin"
"Gordon Five";"Pils";"5";"Groupe John Martin"
"Gordon Xmas";"Bière de Noël";"8,8";"Brasserie Palm pour le Groupe John Martin"
"Goud Vuur";"Ambrée, Triple";"9";"Brasserie DijkWaert"
"Gouden Arend 125";"Blonde dorée";"8,5";"Brasserie De Ryck"
"Gouden Carolus Ambrio";"Ambrée";"8";"Brasserie Het Anker"
"Gouden Carolus Christmas";"Brune, Spéciale";"10,5";"Brasserie Het Anker"
"Gouden Carolus Classic";"Brune, Spéciale";"8,5";"Brasserie Het Anker"
"Gouden Carolus Easter";"Brune, Spéciale";"10";"Brasserie Het Anker"
"Gouden Carolus Hopsinjoor";"Blonde, Spéciale";"8";"Brasserie Het Anker"
"Gouden Carolus Tripel";"Triple";"9";"Brasserie Het Anker"
"Gouden Pier Kloeffe";"Fermentation haute, Triple";"8,1";"De Proefbrouwerij pour la Brasserie Slaapmutske"
"Gouyasse";"Fermentation haute, Blonde";"7";"Brasserie des Géants"
"Grand Cru Bruocsella";"Lambic";"5";"Brasserie Cantillon"
"Grandgousier";"Blonde";"5,5";"Brasserie de la Lienne"
"Green Buzz";"Bio";"6";"Brasserie Millevertus"
"La Grelotte";"Bière de Noël";"9";"Brasserie Grain d'Orge"
"Gribousine Blonde";"Fermentation haute";"8,5";"Brasserie La Binchoise pour la Brasserie de Malonne"
"Gribousine Brune";"Fermentation haute";"8";"Brasserie La Binchoise pour la Brasserie de Malonne"
"Gribousine Hiver";"Bière de Noël";"8,5";"Brasserie La Binchoise pour la Brasserie de Malonne"
"Griboval";"Fermentation haute";"6,5";"Brasserie Van Den Bossche pour Scouts Moen 50 jaar (2011)"
"Grimbergen Blond";"Abbaye Fermentation haute";"6,7";"Alken-Maes (Heineken)"
"Grimbergen Cuvée de l'Ermitage";"Fermentation haute";"7,5";"Alken-Maes (Heineken)"
"Grimbergen Dubbel";"Fermentation haute";"6,5";"Alken-Maes (Heineken)"
"Grimbergen Goud 8°";"Fermentation haute, Blonde";"8";"Alken-Maes (Heineken)"
"Grimbergen Optimo Bruno";"Fermentation haute";"10";"Alken-Maes (Heineken)"
"Grimbergen Selection";"Brune, Double";"7";"Alken-Maes (Heineken)"
"Grimbergen Tripel";"Triple";"9";"Alken-Maes (Heineken)"
"Grisette Ambrée";"Ambrée";"5";"Brasserie St-Feuillien"
"Grisette Blanche";"Blanche";"5";"Brasserie St-Feuillien"
"Grisette Blonde";"Blonde";"4,5";"Brasserie St-Feuillien"
"Grisette Cérise";"Fruitée";"3,5";"Brasserie St-Feuillien"
"Grisette Country Cool";;"3,5";"Brasserie St-Feuillien"
"Grisette Fruits des Bois";"Fruitée";"3,5";"Brasserie St-Feuillien"
"La Grognarde";"Fermentation haute";"5,5";"Brasserie Sainte-Hélène"
"Grotten Flemish Ale";"Fermentation haute, Ale";"7,7";"Brasserie St. Bernardus"
"Grottenbière";"Fermentation haute";"6,5";"Brasserie St. Bernardus"
"Gruut Amber";"Ambrée";"6,6";"Stadsbrouwerij Gruut"
"Gruut Blond";"Blonde";"5,5";"Stadsbrouwerij Gruut"
"Gruut Bruin";"Brune";"8";"Stadsbrouwerij Gruut"
"Gruut Inferno";"Blonde dorée";"9";"Stadsbrouwerij Gruut"
"Gruut Wit";"Blanche";"5";"Stadsbrouwerij Gruut"
"Gueuze Cantillon 100 Lambic Bio";"Gueuze";"5";"Brasserie Cantillon"
"Gueuze Girardin";"Gueuze";"5";"Brasserie Girardin"
"Gueuze Girardin gefilterd";"Gueuze";"5";"Brasserie Girardin"
"Gueuze Jacobins";"Gueuze";"5,5";"Brasserie Bockor"
"Gueuze Lindemans";"Gueuze";"5,5";"Brasserie Lindemans"
"Gueuze Mariage Parfait";"Gueuze";"8";"Brasserie Boon"
"Gueuze Tilquin";"Gueuze";"6,4";"Gueuzerie Tilquin"
"Gueuze Tilquin Version Fût";"Gueuze";"4,8";"Gueuzerie Tilquin"
"Guido";"Fermentation haute";"8";"Brasserie De Regenboog"
"La Guillotine";"Blonde";"8,5";"Brasserie Huyghe"
"Gulden Delle";;"8,5";"Brasserie De Vlier"
"Gulden Draak";"Fermentation haute, Brune";"10,5";"Brasserie Van Steenberge"
"Guldenberg";"Blonde, Abbaye";"8,5";"Brasserie De Ranke"
"Gypsy Rose";"Ambrée";"9";"Brasserie Sainte-Hélène"
"Haanse Witte";"Blanche";"5,5";"Brasserie Strubbe pour den Haene"
"Halleschelle";"Blonde";"8,5";"Brasserie Alvinne"
"Hanssens Lambic Experimental Cassis";"Lambic, Fruitée";"4";"Brasserie Hanssens"
"Hanssens Lambic Experimental Raspberry";"Lambic, Fruitée";"4";"Brasserie Hanssens"
"Hapkin";"Fermentation haute, Blonde";"8,5";"Alken-Maes (Heineken)"
"Harelbekenaar van de abdijhoeve";"Rouge-brune (Bière-étiquette)";"6";"Brasserie Van Eecke"
"Hector";"Fermentation haute, Triple";"8,2";"Brasserie De Graal"
"Heksemiebière";"Fermentation haute";"6,2";"Microbrasserie Achilles"
"Hellekapelle";"Blonde";"5";"Brasserie De Bie"
"Helleketelbière";"Ambrée";"7";"Brasserie De Bie"
"Hercule Stout";"Stout";"9";"Brasserie des Légendes"
"Herkenrode Bruin";"Abbaye, Brune";"7";"Brasserie Cornelissen"
"Herkenrode Tripel";"Abbaye, Triple";"7";"Brasserie Cornelissen"
"Hertalse Poorter";"Fermentation haute, Blonde";"6,5";"Brasserie Slaghmuylder"
"Hertenheer";"Fermentation haute, Ambrée";"6,5";"Scheldebrouwerij pour la Brasserie Het Nest"
"La Hervoise";"Brune";"8";"Brasserie Grain d'Orge"
"La Heusschennoise";"Blonde";"7";"Brasserie Grain d'Orge"
"Hik Blond";"Fermentation haute, ale";"6,5";"Brasserie De Graal pour la Brasserie Het Alternatief"
"Hik Bruin";"Fermentation haute";"6,5";"Brasserie De Graal pour la Brasserie Het Alternatief"
"Himelein";"Fermentation haute";"6";"Brasserie Vissenaken"
"L'Hiveresse";"Brune";"8";"Brasserie de la Lesse"
"Hoegaarden";"Fermentation haute, Blanche";"4,9";"Brasserie De Kluis (InBev)"
"Hoegaarden 0,0";"Blanche NA";"0";"Brasserie De Kluis (InBev)"
"Hoegaarden 0,0 Rosée";"Fruitée NA";"0";"Brasserie De Kluis (InBev)"
"Hoegaarden Citron";"Fruitée";"3";"Brasserie De Kluis (InBev)"
"Hoegaarden Grand Cru";"Fermentation haute";"8,5";"Brasserie De Kluis (InBev)"
"Hoegaarden Radler Agrum";"Panaché";"2";"Brasserie De Kluis (InBev)"
"Hoegaarden Radler Lemon & Lime";"Panaché";"2";"Brasserie De Kluis (InBev)"
"Hoegaarden Rosée";"Fruitée";"3";"Brasserie De Kluis (InBev)"
"Hoegaarden Spéciale";"Fermentation haute, Blonde dorée";"5,7";"Brasserie De Kluis (InBev)"
"Hoegaarden Verboden Vrucht";"Fruitée";"8,8";"Brasserie De Kluis (InBev)"
"Hof Korvatunturi";"Fermentation haute, Brune";"11";"'t Hofbrouwerijke"
"Hof ten Dormaal Amber";"Fermentation haute";"7,5";"Brasserie Hof ten Dormaal"
"Hof ten Dormaal Blond";"Fermentation haute";"8";"Brasserie Hof ten Dormaal"
"Hof ten Dormaal Donker";"Fermentation haute";"8,5";"Brasserie Hof ten Dormaal"
"Hofblues";"Stout";"5,5";"'t Hofbrouwerijke"
"Hofdraak";"Brune";"6,5";"'t Hofbrouwerijke"
"Hofelf";"Triple";"7,5";"'t Hofbrouwerijke"
"Hofnar";"Ambrée";"9";"'t Hofbrouwerijke"
"Hofpint";"Fermentation haute, Pils";"5,5";"'t Hofbrouwerijke"
"Hoftrol";"Ambrée";"6,2";"'t Hofbrouwerijke"
"Holger";"Pils";"5";"Brasserie Martens"
"Holsbeek Lentetripel";"Triple";"8,5";"Brasserie De Vlier"
"Hommel";"Blonde dorée, Fermentation haute";"7,5";"Brasserie Van Eecke"
"Hop Harvest";"Brune";"8";"Brasserie De Ranke"
"Hop Ruiter";"Triple";"8";"Scheldebrouwerij"
"Hopjutters Triple Hop";"IPA";"7,3";"Brasserie De Graal pour la De Hopjutters"
"Hoppa Hontas";"IPA";"6,5";"Brasserie Maenhout"
"Hoppe";"Pils";"5";"Brasserie Van Steenberge"
"Hopus";"Fermentation haute, Blonde dorée";"8,3";"Brasserie Lefebvre"
"Hop Verdomme IPA";"Blonde";"7";"Brasserie Cornelissen pour Brasserie Kerkom"
"Horal's Oude Gueuze Mega Blend";"Gueuze";"7";"Brasserie 3 Fonteinen, Brasserie Boon, Brasserie Timmermans, Brasserie Oud Beersel, Brasserie Lindemans, Brasserie De Troch, Brasserie De Cam, Brasserie Hanssens"
"Horse Ale";;"4,5";"InBev"
"Horst bière";"Fermentation basse, Blonde";"6,5";"Brasserie Haacht"
"Hotteuse Grand Cru";"Brune";"8";"Brasserie Affligem (Heineken)"
"Houblon Chouffe Dobbelen IPA Tripel";"IPA";"9";"Brasserie d'Achouffe (Brasserie Duvel Moortgat)"
"Hougaerdse Das";"Fermentation haute, Ambrée";"5,1";"Brasserie De Kluis (InBev)"
"Houppe";"Blonde blonde";"7";"Brasserie artisanale de Namur"
"Houten Kop";"Spéciale";"6,5";"Brasserie Strubbe"
"Huardis";"Blanche";"5,2";"Brasserie Nieuwhuys"
"Hypallage";"Blonde, Fermentation haute";"8";"Brasserie Oxymore"
"Ichtegem’s grand cru";;"6,5";"Brasserie Strubbe"
"Ichtegem's Vieille brune";"Rouge-brune, Fermentation haute";"5";"Brasserie Strubbe"
"Ignis & Flamma";"IPA";"7";"De Struise Brouwers par la Brasserie Deca"
"IPA";"IPA";"7,9";"Brasserie Strubbe"
"Iris";"Gueuze, Ambrée";"6";"Brasserie Cantillon"
"Irma";"Fruitée";"6";"pour Vacas"
"Itters Bruin";"Bière de table";"1,3";"Brasserie Sint-Jozef"
"Jack’Ouille";"Blonde";"5,5";"Brasserie de Bouillon"
"Jack-Op";"Fermentation mixte";"5,5";"Brasserie Boon"
"Jaded Stillwater Artisanal";"Ale";"10";"De Struise Brouwers par la Brasserie Deca"
"Jambe-de-Bois";"Triple";"8";"Brasserie de la Senne"
"La Jamboise de Bister";"Blonde";"6,5";"Brasserie Lefebvre"
"Jan Buuc";"(Bière-étiquette)";"7,5";"Brasserie Het Sas"
"Jan De Lichte";"Blanche";"7";"Brasserie De Glazen Toren"
"Jan van Gent";"Blonde";"5,5";"Brasserie Liefmans"
"Jan van Oudenaarde";"Blonde";"8";"Brasserie Slaapmutske"
"Jean Nicot";"Triple";"8,5";"Brasserie De Graal"
"Jeanke";"Blonde";"";"Brasserie St. Jean"
"Jessenhofke Bruin";"Fermentation haute, Bio";"7";"De Proefbrouwerij pour la Brasserie Jessenhofke"
"Jessenhofke Maya";"Fermentation haute, Bio";"6";"De Proefbrouwerij pour la Brasserie Jessenhofke"
"Jessenhofke Tripel";"Fermentation haute, Bio, Triple";"8";"De Proefbrouwerij pour la Brasserie Jessenhofke"
"Jezuwiet";"Fermentation haute, Triple";"8,5";"Brasserie Boelens"
"Johannes";;"6,5";"Brasserie De Graal pour Johannes"
"Joseph";"Fermentation haute, Blonde";"5,4";"Brasserie de Silenrieux"
"Joseph Bio";"Fermentation haute, Blonde";"5,4";"Brasserie de Silenrieux"
"Joup";"Fermentation haute";"7,5";"Brasserie Grain d'Orge"
"Julius";"Fermentation haute, Brune";"8,7";"Brasserie De Kluis (InBev)"
"Judas";"Fermentation haute, Blonde";"8,5";"Alken-Maes (Heineken)"
"Jules de Bananes";"Fruitée";"4,9";"Brasserie De Ryck"
"Jules de Kriek";"Fruitée, Rouge";"4,9";"Brasserie De Ryck"
"Jupiler";"Pils";"5,2";"Brasserie Jupiler (AB InBev)"
"Jupiler Blue";"Fermentation basse, Pils";"3,3";"Brasserie Jupiler (AB InBev)"
"Jupiler NA";"NA";"0,5";"Brasserie Jupiler (AB InBev)"
"Jupiler New Tauro";"Fermentation basse";"6,2";"Brasserie Jupiler (AB InBev)"
"Jupiler Tauro";"Fermentation basse";"8,3";"Brasserie Jupiler (AB InBev)"
"Kalle";"Triple";"8";"Brasserie Gulden Spoor"
"Kameleon Amber";"Bio";"6,5";"Brasserie Den Hopperd"
"Kameleon Donker";"Bio";"6";"Brasserie Den Hopperd"
"Kameleon Ginseng";"Bio";"6,5";"Brasserie Den Hopperd"
"Kamil";"Fermentation haute";"6,5";"De Proefbrouwerij pour BVG"
"Kameleon Tripel";"Bio, Triple";"8,5";"Brasserie Den Hopperd"
"Kapel van Viven Blond";"Blonde";"6,8";"De Proefbrouwerij pour Beerdevelopment Viven"
"Kapel van Viven Bruin";"Brune";"6,6";"De Proefbrouwerij pour Beerdevelopment Viven"
"Kapittel Abt";"Brune";"10";"Brasserie Van Eecke"
"Kapittel Blond";"Blonde";"6,5";"Brasserie Van Eecke"
"Kapittel Dubbel";"Brune";"7,5";"Brasserie Van Eecke"
"Kapittel Pater";"Brune";"6";"Brasserie Van Eecke"
"Kapittel Prior";"Brune";"9";"Brasserie Van Eecke"
"Kapittel Tripel Abt";"Triple";"10";"Brasserie Van Eecke"
"Karlsquell";"Pils";"4,6";"Brasserie Martens"
"Kastaar";"Blonde";"6";"Brasserie De Block"
"Kasteel Blond";"Blonde, Fermentation haute";"7";"Brasserie Van Honsebrouck"
"Kasteel Cuvée du Chateau";"Brune";"11";"Brasserie Van Honsebrouck"
"Kasteel Donker";"Brune";"11";"Brasserie Van Honsebrouck"
"Kasteel Rouge";"Kriek";"8";"Brasserie Van Honsebrouck"
"Kasteel Tripel";"Triple";"11";"Brasserie Van Honsebrouck"
"Kastel";"Ambrée";"7";"De Proefbrouwerij pour De Kastelse bièrevereniging"
"Kastels pompoenbière";"Blanche, Saison";"";"De Proefbrouwerij pour De Kastelse biervereniging"
"Katje Special";"Fermentation haute, ale";"6";"Brasserie Het Sas"
"Keikoppenbière";"Blonde, Bio";"6,1";"Brasserie De Plukker"
"Keizer Karel Ropar la n Rood";"Rouge";"8,5";"Brasserie Haacht"
"Keizer Karel Goud Blond";"Blonde";"8,5";"Brasserie Haacht"
"Keizersberg";"Abbaye";"9";"Brasserie Van Steenberge"
"Kempisch Vuur 3-Dubbel";"Brune";"7,5";"De Proefbrouwerij pour Brasserie Pirlot"
"Kempisch Vuur Tripel";"Triple";"7,5";"De Proefbrouwerij pour Brasserie Pirlot"
"Kerasus";"Brune-rouge";"5,5";"Brasserie Alvinne"
"Kerelsbière Donker";"(Bière-étiquette)";"6,4";"Brasserie Het Sas"
"Kerelsbière Licht";"(Bière-étiquette)";"6,4";"Brasserie Het Sas"
"Kerkomse Tripel";"Triple";"9";"Brasserie Cornelissen pour Brasserie Kerkom"
"Kerstpater";"Fermentation haute, Bière de Noël";"9";"Brasserie Van Den Bossche"
"Kerstbie";"Brune, Bière de Noël";"8";"Brasserie De Bie"
"KerstSmiske";"Brune, Bière de Noël";"11";"Brasserie Smisje"
"Kerstvuur";"Bière de Noël";"8";"De Proefbrouwerij pour la Brasserie Pirlot"
"Kessel 69";"Fermentation haute";"6,9";"Brasserie De Vlier"
"Kessel Blond";"Fermentation haute";"7,5";"Brasserie De Vlier"
"Keyte";"Blonde, Fermentation haute";"7,5";"Brasserie Strubbe"
"Keyte-Dobbel-Tripel";"Rouge, Fermentation haute";"9,2";"Brasserie Strubbe"
"Kleveretien";"Fermentation haute, Bière de Noël";"10";"De Scheldebrouwerij pour la Brasserie Het Nest"
"Klingse Kalsei";"Fermentation haute";"8";"Brasserie Van Steenberge"
"Kloeke Blonde";"Fermentation haute, Ale";"6";"De Struise Brouwers"
"Klokke Roeland";"Brune";"11.5";"Brasserie Van Steenberge"
"Klooster van Viven";"Brune";"6,6";"De Proefbrouwerij pour Beerdevelopment Viven"
"Koantjesbière";"Fermentation haute";"7";"De Proefbrouwerij pour Vacas"
"Koekelaring";"Fermentation haute";"6,5";"Brasserie De Graal pour De Hoevebrouwers"
"Koeketiene";"Triple";"8,5";"Brasserie Maenhout"
"Koerseklakske";"Fermentation haute";"5,5";"Brasserie 't Gaverhopke"
"Korsakoff";"Blonde";"6,5";"'t Hofbrouwerijke"
"Kortrijk-d’Utsel";;"8,5";"Brasserie Kortrijk-d’Utsel"
"Kriek Belgique";"Fruitée";"3,5";"Brasserie du Bocq"
"Kriek Boon";"Lambic";"4,5";"Brasserie Boon"
"Kriek Cantillon 100 Lambic";"Lambic";"5,5";"Brasserie Cantillon"
"Kriek De Ranke";"Fruitée";"4,5";"Brasserie De Ranke"
"Kriek de Silenrieux";"Fruitée";"4,5";"Brasserie de Silenrieux"
"Kriek Fantastiek";"Fruitée, Rouge-brune";"4,9";"Brasserie De Ryck"
"Kriek Girardin";"Lambic";"5";"Brasserie Girardin"
"Kriek Jacobins";"Lambic";"4,5";"Brasserie Bockor"
"Kriek Lindemans";"Lambic";"3,5";"Brasserie Lindemans"
"Kriek Mariage Parfait";"Lambic";"8";"Brasserie Boon"
"Kriekedebie";"Fruitée";"4,4";"Brasserie De Bie"
"Kriekenbier";"Fruitée, Fermentation basse";"4";"Brasserie Cornelissen"
"Kriekenbière";"Fruitée";"4,5";"Brasserie Strubbe"
"Kriek Max";"Fruitée";"3,2";"Brasserie Bockor"
"Kristoffel Blanche";"Blanche";"5";"Brasserie Martens"
"Kristoffel Blonde";"Blonde";"6";"Brasserie Martens"
"Kristoffel Brune";"Brune";"6";"Brasserie Martens"
"Kwak";"Blonde, Fermentation haute";"8,4";"Brasserie Bosteels"
"Kwaremont";"Blonde, Fermentation haute";"6,6";"Brasserie Bavik"
"Kwets";"Blanche";"6,8";"Brasserie De Graal pour la Microbrasserie Paeleman pour Kwets vzw"
"Kwibus Blond";"Blonde, Fermentation haute";"6,4";"Brasserie Danny"
"Kwibus Donker";"Fermentation haute";"6,4";"Brasserie Danny"
"Lam Gods";"Brune, Double";"6,8";"Brasserie Van Steenberge pour la Brasserie Paeleman"
"Lambinus";"Fermentation haute, Bière au miel";"8";"De Proefbrouwerij pour Lesage"
"Lamme Goedzak";"Fermentation haute";"7";"De Scheldebrouwerij"
"Lamoral Degmont";"Fermentation haute, Ambrée-blonde";"8";"Brasserie Van Den Bossche"
"Leeuw Pilsener";"Pils";"5";"Brasserie Haacht"
"Leeuwse Witte";"Blanche";"5";"Brasserie Affligem (Heineken)"
"Leffe Blonde";"Blonde, Abbaye";"6,6";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe Brune";"Brune, Abbaye";"6,5";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe de Noël";"Bière de Noël, Abbaye";"6,5";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe de Printemps";"Abbaye";"6,5";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe Radieuse";"Abbaye";"8,2";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe Royale";"Blonde, Abbaye";"7,5";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe Ruby";"Fruitée, Abbaye";"6,5";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe Triple";"Triple, Abbaye";"8,4";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe Vieille Cuvée";"Ambrée";"8,2";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Leffe 9°";"Fermentation haute";"9";"Abbaye Notre-Dame de Leffe (AB InBev)"
"Légia Blonde";"Blonde";"5";"Brasse & Vous"
"Légia La Fruitée";"Fruitée";"3,5";"Brasse & Vous"
"Légia Saison";"Saison, Ambrée";"5";"Brasse & Vous"
"Leireken Boekweit Blond";"Ambrée, Fermentation haute, Bière au sarrasin, Bio";"6";"Brasserie Strubbe pour Guldenboot nv"
"Leireken Boekweit Bruin";"Brune, Fermentation haute, Bière au sarrasin, Bio";"6";"Brasserie Strubbe pour Guldenboot nv"
"Leireken Lager Bio";"Pils, Bio";"5,2";"Brasserie Strubbe pour Guldenboot nv"
"Leireken Wilde Vruchten";"Fruitée, Fermentation haute, Bio";"5,2";"Brasserie Strubbe pour Guldenboot nv"
"Leireken Witte Spelt";"Blonde, Fermentation haute";"5";"Brasserie Strubbe pour Guldenboot nv"
"Lesage Blond";"Fermentation haute, Triple";"7";"De Proefbrouwerij pour Lesage"
"Lesage Dubbel";"Fermentation haute";"7,5";"De Proefbrouwerij pour Lesage"
"Leute Bock";"Rouge-brune, Fermentation haute";"7,5";"Brasserie Van Steenberge"
"Li Berwette";"Ambrée, Fermentation haute";"8";"Brasserie Saint-Monon pour la Confrérie du Busson"
"Li Berwette di Noyè";"Brune, Bière de Noël";"8,5";"Brasserie Saint-Monon pour la Confrérie du Busson"
"Liefmans Cuvée-Brut";"Fruitée";"6";"Brasserie Liefmans"
"Liefmans Frambozenbière";"Fruitée";"5,4";"Brasserie Liefmans"
"Liefmans Fruitesse";"Fruitée";"3,8";"Brasserie Liefmans"
"Liefmans Goudenband";"Brune";"8";"Brasserie Liefmans"
"Liefmans Vieille brune";"Vieille brune";"5";"Brasserie Liefmans"
"Liene";"Ambrée, Triple";"7";"'t Hofbrouwerijke pour la Brasserie Het Nest"
"Lienne";"Blonde";"7";"Brasserie de la Lienne"
"Lienne Brune";"Brune";"8";"Brasserie de la Lienne"
"Lienne Noire";"Noire";"5";"Brasserie de la Lienne"
"Liers Bière de Noël";"Ambrée, Bière de Noël";"6";"Brasserie Strubbe pour la commune de Lierre"
"Lily Blue";"Fermentation haute";"7,5";"Brasserie Sainte-Hélène"
"Limburgse Witte";"Fermentation haute";"5";"Brasserie Cornelissen"
"Limerick";"Blonde";"8";"De Proefbrouwerij pour Bas-bieren"
"Lindemans Apple";"Lambic";"3,5";"Brasserie Lindemans"
"Lindemans Cassis";"Fruitée";"3,5";"Brasserie Lindemans"
"Lindemans Framboise";"Lambic";"2,5";"Brasserie Lindemans"
"Lindemans Kriek";"Kriek";"4";"Brasserie Lindemans"
"Lindemans Pecheresse";"Fruitée";"2,5";"Brasserie Lindemans"
"Li Rècène";"Fruitée";"6;5";"Brasserie Grain d'Orge"
"Liter van Pallieter";"Triple";"8";"Microbrasserie Achilles"
"Living Tripel";"Triple";"9";"De Proefbrouwerij"
"Livinus";"Blonde, Fermentation haute";"10";"Brasserie Van den Bossche"
"Livinus Blonde";"Triple";"10";"Brasserie Van Eecke"
"Livinus Brune";"Brune";"9";"Brasserie Van Eecke"
"Lokernaere";"(Bière-étiquette)";"5,5";"Brasserie Het Sas"
"Loterbol 6°";"Fermentation haute";"6";"Brasserie Loterbol"
"Loterbol Blond";"Fermentation haute";"8";"Brasserie Loterbol"
"Loterbol Bruin";"Fermentation haute";"8";"Brasserie Loterbol"
"La Loubécoise";"Brune, Fermentation haute";"8";"Brasserie d'Écaussinnes"
"Lou Pepe";"Gueuze";"5";"Brasserie Cantillon"
"Louwaege Dubbel Blond";"Bière de table";"1,4";"Brasserie Louwaege"
"Louwaege Faro";"Bière de table";"1,4";"Brasserie Louwaege"
"Louwaege's Kriek";"Kriek";"4,3";"Alken-Maes (Heineken)"
"Louwaege Stout";"Stout";"4,8";"Brasserie Louwaege"
"Lozen Boer";"Fermentation haute, Quadruple";"10";"De Proefbrouwerij pour la famille Neyt"
"Lucifer";"Blonde, Fermentation haute";"8,4";"Brasserie Het Anker (précédemment brassée par l Brasserie Riva et la Brasserie Liefmans)"
"Lupulus Blonde";"Fermentation haute";"8,5";"Brasserie Les Trois Fourquets"
"Lupulus Brune";"Triple";"8,5";"Brasserie Les Trois Fourquets"
"Lupulus Hibernatus";"Brune, Bière de Noël";"9";"Brasserie Les Trois Fourquets"
"Lupulus Hopera";"Blonde";"6";"Brasserie Les Trois Fourquets"
"Lupulus Organicus";"Blonde, Bio";"8,5";"Brasserie Les Trois Fourquets"
"Lustem";"Blanche";"7";"'t Hofbrouwerijke pour De Verhuisbrouwerij"
"La Mac Vertus";"Stout";"4,8";"Brasserie Millevertus"
"Ma Mère Spéciale";"Blonde";"6";"Brasserie De Leite"
"Maerlant";"Triple";"9";"Brasserie Van Steenberge"
"Maes";"Pils";"5,2";"Alken-Maes (Heineken)"
"Maes Nature";"Bière de table";"1,5";"Alken-Maes (Heineken)"
"Maes Radler Citron";"Panaché";"2";"Alken-Maes (Heineken)"
"Maes Radler Citron Vert-Cactus";"Panaché";"2";"Alken-Maes (Heineken)"
"Maes Radler Pamplemousse";"Panaché";"2";"Alken-Maes (Heineken)"
"Mageleno";"Blonde";"7,5";"Huisbrouwerij Sint Canarus"
"Malheur 6";"Blonde dorée";"6";"Brasserie De Landtsheer"
"Malheur 8";"Blonde";"8";"Brasserie De Landtsheer"
"Malheur 10";"Blonde";"10";"Brasserie De Landtsheer"
"Malheur 12";"Rouge-brune";"12";"Brasserie De Landtsheer"
"Malheur Bière Brut World Classic";"Brut, Blonde";"11";"Brasserie De Landtsheer"
"Malheur Dark Brut";"Brut, Brune";"12";"Brasserie De Landtsheer"
"Malheur Cuvée Royale";"Brut, Blonde";"9";"Brasserie De Landtsheer"
"Maltosa";"Brune, Bière de table";"1,2";"Brasserie Haacht"
"Mamouche";"Lambic";"5";"Brasserie Cantillon"
"Maneblusser";"Blonde";"6";"Brasserie Het Anker"
"Manneke Pils";"Pils";"5,2";"Brasserie Lefebvre"
"Mano Negra";"Stout";"10";"Brasserie Alvinne"
"Manten";"Fermentation haute";"6";"Brasserie Gulden Spoor"
"Marckloff";"Fermentation haute";"6,5";"Brasserie La Ferme au Chêne"
"Maredsous Blond";"Blonde";"6";"Brasserie Duvel Moortgat"
"Maredsous Brune";"Brune";"8";"Brasserie Duvel Moortgat"
"Maredsous Triple";"Triple";"10";"Brasserie Duvel Moortgat"
"Marie Blanche";"Blanche";"5";"Brasserie de la Lesse"
"Margriet";"(Bière-étiquette)";"6,5";"Brasserie Het Anker"
"Martens Pils";"Pils";"5";"Brasserie Martens"
"Martin’s Blond";"Fermentation haute";"6";"Groupe John Martin"
"Martin’s Pale Ale";"Fermentation haute";"5,5";"Groupe John Martin"
"Mater Witbier";"Blanche";"5";"Brasserie Roman"
"Mc Chouffe";"Brune";"8,0";"Brasserie d'Achouffe (Brasserie Duvel Moortgat)"
"Mc Thals";"Blonde, Fermentation haute";"9,5";"Brasserie DijkWaert"
"La Médiévale";"Ambrée, Fermentation haute";"6";"Brasserie de Bouillon"
"Melchior";"Ambrée";"11";"Brasserie Alvinne"
"Melchior Oak Aged";;"11";"Brasserie Alvinne"
"Melse God";"Blonde";"6,5";"Brasserie Huyghe"
"Merck toch hoe sterck";"Barley wine";"9";"De Scheldebrouwerij"
"La Mère Vertus";"Triple";"7";"Brasserie Millevertus"
"Merveilleuse de Chèvremont";"Blonde";"7,5";"Val-Dieu"
"Métisse";"Saison";"5,7";"Brasserie de Bastogne par la Brasserie du Lion à Plume"
"Meuuh!";"Blanche";"5,5";"Brasserie Saint-Monon pour la Confrérie du Busson"
"Mistinguett";"Fermentation haute";"6,5";"Brasserie Sainte-Hélène"
"La Moche de Noël";"Blonde Saison";"9";"Brasserie du Brabant"
"Modeste Bruin";"Brune, Bio";"7,8";"Brasserie Strubbe pour BioFresh"
"Modeste Tripel";"Triple, Bio";"8,4";"Brasserie Strubbe pour BioFresh"
"Moeder Overste";"Blonde";"8";"Brasserie Lefebvre"
"Moinette Blonde";"Blonde";"8";"Brasserie Dupont"
"Moinette Brune";"Brune";"8,5";"Brasserie Dupont"
"Moinette Biologique";"Blonde, Bio";"7,5";"Brasserie Dupont"
"Molse Tripel";"Triple";"8,3";"Scheldebrouwerij"
"La Moneuse";"Saison, Ambrée";"8";"Brasserie de Blaugies"
"La Moneuse Spéciale Noël";"Saison, Brune, Fermentation haute";"8";"Brasserie de Blaugies"
"Mongozo Banana";"Fruitée";"4,5";"Brasserie Huyghe"
