"Belgoo Luppoo";"Blonde dorée";"6,5";"Brasserie La Binchoise pour la Brasserie Belgoobeer"
"Bella Mère";"Blonde";"6,5";"Brasserie Millevertus"
"Belle Cies";"Blonde";"10";"Huisebrouwerij Den Tseut"
"Belle-Fleur";"India Pale Ale";"6";"Brouwerij De Dochter van de Korenaar"
"Belle Pin-Up";"Blonde";"5";"Brasserie L'Échappée Belle"
"Belle-Vue Framboise";"Fruitée";"5,7";"Brasserie Belle-Vue (InBev)"
"Belle-Vue Extra Framboise";"Fruitée";"2,9";"Brasserie Belle-Vue (Inbev)"
"Belle-Vue Kriek";"Kriek";"5,2";"Brasserie Belle-Vue (InBev)"
"Belle-Vue Kriek Classique";"Kriek";"5,1";"Brasserie Belle-Vue (Inbev)"
"Belle-Vue Extra Kriek";"Kriek";"4,3";"Brasserie Belle-Vue (Inbev)"
"Belle-Vue Gueuze";"Lambic";"5,5";"Brasserie Belle-Vue (Inbev)"
"Belle-Vue LA";"NA";"1";"Brasserie Belle-Vue (Inbev)"
"Bellebière Amber";"Ambrée";"5,2";"Brasserie Van Steenberge pour Paeleman"
"Bellebière Dubbel";"Brune";"6,2";"Brasserie Van Steenberge pour Paeleman"
"Bellebière Trippel";"Triple";"8";"Brasserie Van Steenberge pour Paeleman"
"Bellegems Bruin";"Vieille brune";"5,5";"Brasserie Bockor"
"Bellegems Witbier";"Blanche";"5,0";"Brasserie Bockor"
"Belval";"Blonde";"4,8";"Gageleer"
"Berentemmer";"Brune";"7";"Brasserie Maenhout"
"Bersalis Tripel";"Blonde, Fermentation haute, Triple";"9,5";"Brasserie Huyghe pour la Brasserie Oud Beersel"
"Bersalis Kadet";"Blonde";"4,5";"Brasserie Huyghe pour la Brasserie Oud Beersel"
"Bertinchamps Blonde";"Blonde";"6,2";"Brasserie de Bertinchamps"
"Bertinchamps Brune";"Brune";"7";"Brasserie de Bertinchamps"
"Bertinchamps Triple";"Triple";"8";"Brasserie de Bertinchamps"
"Betchard Brune";"Brune";"7";"Brasserie de Tubize"
"Betchard Blonde";"Blonde";"5,5";"Brasserie de Tubize"
"Bieken";"Blonde";"8";"Brasserie Boelens"
"Bierbeekse";"Blonde-ambrée, Fermentation haute";"7,3";"Brasserie Van Steenberge pour la commune de Bierbeek"
"Bierbuik";"Brune";"8";"De Verhuisbrouwerij"
"Bière Darbyste";"Ambrée";"5,8";"Brasserie de Blaugies"
"Bière de Beloeil";"Fermentation haute";"8,5";"Brasserie Dupont"
"Bière de Garde";"Bio, Rouge-brune";"10";"Brasserie Jessenhofke par la De Proefbrouwerij"
"Bière de Miel Bio";"Bio, Bière au miel";"8";"Brasserie Dupont"
"Bière des Ours (Berenbière)";"Bière au miel";"8,5";"Brasserie La Binchoise"
"Bière du Corsaire Cuvée Spéciale";"Blonde";"9,4";"Brasserie Huyghe"
"Bière du Mont Saint-Aubert";"Blonde";"8";"Brasserie de Brunehaut"
"Bière Spéciale Belge";"Spéciale";"5";"Brasserie La Binchoise"
"Big Bavik";"Blonde";"5";"Brasserie Bavik"
"Big Chouffe";"Blonde";"8";"Brasserie d'Achouffe (Brasserie Duvel Moortgat)"
"Bierpruver Dubbel Bruin";"Double";"7,5";"Huisbrouwerij de 3 vaten"
"Bierpruver Tripel";"Triple";"9";"Huisbrouwerij de 3 vaten"
"Bierpruver Winter";"Bière de Noël";"8";"Huisbrouwerij de 3 vaten|-"
"La Binchoise Blonde";"Fermentation haute, Blonde";"6,2";"Brasserie La Binchoise"
"La Binchoise Brune";"Fermentation haute";"7,7";"Brasserie La Binchoise"
"La Binchoise Organic’ Brune";"Fermentation haute, Bio";"7";"Brasserie La Binchoise"
